User-ID,Age,Age_cate,state,country,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Main_Title,Sub_Title
183,27.0,20-29,porto,portugal,8440630794,7,cuentos del planeta tierra,arthur c. clark,1950-1999,edicion b,cuentos del planeta tierra,
80908,30.0,30-39,catalunya,spain,8440630794,7,cuentos del planeta tierra,arthur c. clark,1950-1999,edicion b,cuentos del planeta tierra,
183,27.0,20-29,porto,portugal,8476409419,8,estudios sobre el amor,jose ortega y gaset,2000-2009,downtown book center,estudios sobre el amor,
239467,23.0,20-29,baden-wuerttemberg,germany,3257203659,7,der illustrierte mann  erz   hlungen ,ray bradburi,2000-2009,diogen,der illustrierte mann  erz   hlungen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257207522,10,der k   nig in gelb ,raymond chandler,1950-1999,diogen verlag,der k   nig in gelb ,
71739,34.0,30-39,rheinland-pfalz,germany,3257208626,8,fahrenheit 451,ray bradburi,1950-1999,distribook inc,fahrenheit 451,
206441,32.0,30-39,nordrhein-westfalen,germany,3257208626,8,fahrenheit 451,ray bradburi,1950-1999,distribook inc,fahrenheit 451,
242,37.0,30-39,baden-wuerttemberg,germany,3257208634,10,die mars  chroniken  roman in erz   hlungen ,ray bradburi,1950-1999,diogen verlag,die mars  chroniken  roman in erz   hlungen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257208669,9,das b   se kommt auf leisen sohlen ,ray bradburi,2000-2009,diogen,das b   se kommt auf leisen sohlen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257210450,10,l   wenzahnwein  roman ,ray bradburi,1950-1999,diogen verlag,l   wenzahnwein  roman ,
242,37.0,30-39,baden-wuerttemberg,germany,3257212429,10,die mechanismen der freude  erz   hlungen ,ray bradburi,2000-2009,diogen verlag,die mechanismen der freude  erz   hlungen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257216416,7,der tod kommt schnell in mexico  erz   hlungen ,ray bradburi,1950-1999,diogen verlag,der tod kommt schnell in mexico  erz   hlungen ,
239488,36.0,30-39,niedersachsen,germany,3257216416,8,der tod kommt schnell in mexico  erz   hlungen ,ray bradburi,1950-1999,diogen verlag,der tod kommt schnell in mexico  erz   hlungen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257233051,9,veronika deschliesst zu sterben   vernika decides to die,paolo coelho,2000-2009,distribook,veronika deschliesst zu sterben   vernika decides to die,
71728,49.0,40-49,valencia,spain,3257233051,5,veronika deschliesst zu sterben   vernika decides to die,paolo coelho,2000-2009,distribook,veronika deschliesst zu sterben   vernika decides to die,
